nombre;precio;met_pago;link;todo
ZTE Blade A55 128 GB;$199.999;"Hasta 9 cuotas s/int.
con tarjetas de crédito";/celulares/zte/zte-blade-a55-128-gb/f;"Lanzamiento
Incluye accesorios
ZTE Blade A55 128 GB
$239.999
16% OFF
$199.999
Conexión Total
$179.999
*
Hasta 9 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$148.760"
TCL 40 NXTPAPER 256 GB + Pen;$329.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/tcl/tcl-40-nxt-paper-pen/f;"Incluye accesorios
TCL 40 NXTPAPER 256 GB + Pen
$449.999
26% OFF
$329.999
Conexión Total
$296.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$245.454"
Motorola Moto G85 5G 256 GB;$579.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/motorola/motorola-moto-g85-5g/f;"Incluye accesorios
Motorola Moto G85 5G 256 GB

3 colores

$667.699
13% OFF
$579.999
Conexión Total
$521.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$431.405"
Motorola Moto G75 5G 128 GB;$499.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/motorola/motorola-moto-g-75-5g-128-gb/f;"Incluye accesorios
Motorola Moto G75 5G 128 GB

2 colores

$551.599
9% OFF
$499.999
Conexión Total
$449.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$371.900"
Samsung Galaxy A16 5G 256 GB;$504.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-a16-5g-256-gb/f;"Samsung Galaxy A16 5G 256 GB

2 colores

$619.999
18% OFF
$504.999
Conexión Total
$454.499
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$375.620"
TCL 503 64 GB;$123.499;"Precio exclusivo

Abonando en 1 pago";/celulares/tcl/tcl-503-64-gb/f;"Incluye accesorios
TCL 503 64 GB
$189.999
35% OFF
$123.499
Conexión Total
$111.149
*

Precio exclusivo

Abonando en 1 pago

*Precio sin impto.$91.859"
Motorola Moto G15 128 GB;$249.999;"6 cuotas s/int. en tu factura
12 cuotas s/int. con tarjeta";/celulares/motorola/motorola-moto-g15-128-gb/f;"Incluye accesorios
Motorola Moto G15 128 GB

3 colores

$311.099
19% OFF
$249.999
Conexión Total
$224.999
*
6 cuotas s/int. en tu factura
12 cuotas s/int. con tarjeta
*Precio sin impto.$185.950"
Samsung Galaxy A26 5G 256 GB;$664.999;"Hasta 9 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-a26-5g-256-gb/f;"Lanzamiento
Samsung Galaxy A26 5G 256 GB
$664.999
Conexión Total
$598.500
*
Hasta 9 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$494.628"
TCL 40 NXTPAPER 256 GB;$299.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/tcl/tcl-40-nxt-paper/f;"Incluye accesorios
TCL 40 NXTPAPER 256 GB
$399.999
25% OFF
$299.999
Conexión Total
$269.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$223.140"
Motorola Edge 50 Fusion 256 GB;$589.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/motorola/motorola-edge-50-fusion/f;"Incluye accesorios
Motorola Edge 50 Fusion 256 GB

2 colores

$779.699
24% OFF
$589.999
Conexión Total
$530.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$438.843"
